OID_,ADDRESS,NUMBER_OF_PAYPHONES,BUROUGH,BUROUGH_ID,OPERATOR,COMMUNITY_BOARD,POINT,LATITUDE,LONGITUDE,LOCATION,ADVERTISING,WI_FI
3438,159 WEST 52 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98110992 40.76182861),40.761828610000000,-73.981109920000000,CURBSIDE,FALSE,FALSE
3439,3 WEST 44 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98046215 40.75501331),40.755013310000000,-73.980462150000000,CURBSIDE,TRUE,FALSE
3440,16 EAST 60 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.97120355 40.76431056),40.764310560000000,-73.971203550000000,CURBSIDE,TRUE,FALSE
3441,95 WALL STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00749478 40.70510134),40.705101340000000,-74.007494780000000,CURBSIDE,TRUE,FALSE
3442,17 MAIDEN LANE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00929154 40.70943794),40.709437940000000,-74.009291540000000,CURBSIDE,TRUE,FALSE
3443,302 5 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98585641 40.74668104),40.746681040000000,-73.985856410000000,CURBSIDE,TRUE,FALSE
3444,1167 2 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96323401 40.76214543),40.762145430000000,-73.963234010000000,CURBSIDE,TRUE,FALSE
3445,2730 8 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,10,POINT (-73.94183247 40.8229324),40.822932400000000,-73.941832470000000,CURBSIDE,FALSE,FALSE
3446,28 TRINITY PLACE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.01350758 40.70697821),40.706978210000000,-74.013507580000000,CURBSIDE,TRUE,FALSE
3447,301 EAST 64 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96170262 40.76359141),40.763591410000000,-73.961702620000000,CURBSIDE,TRUE,FALSE
3448,857 2 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.97046165 40.75223349),40.752233490000000,-73.970461650000000,CURBSIDE,TRUE,FALSE
3449,639 3 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.97485131 40.75019519),40.750195190000000,-73.974851310000000,CURBSIDE,TRUE,FALSE
3450,201 EAST 66 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.96305873 40.76577941),40.765779410000000,-73.963058730000000,CURBSIDE,TRUE,FALSE
3451,889 8 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98481306 40.76407985),40.764079850000000,-73.984813060000000,CURBSIDE,TRUE,FALSE
3452,791 8 AVENUE,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98695793 40.76113226),40.761132260000000,-73.986957930000000,CURBSIDE,TRUE,FALSE
3453,20 EAST 35 STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.98223256 40.7483219),40.748321900000000,-73.982232560000000,CURBSIDE,TRUE,FALSE
3454,666 3 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.97425907 40.75104867),40.751048670000000,-73.974259070000000,CURBSIDE,TRUE,FALSE
3455,596 3 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.9759418 40.74873247),40.748732470000000,-73.975941800000000,CURBSIDE,TRUE,FALSE
